"Source:","/Users/aseelqc/Documents/KiCad/Ac Temp Control update/Ac Temp Control .kicad_sch"
"Date:","2022 September 08, Thursday 17:37:14"
"Tool:","Eeschema (6.0.7-1)-1"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","21"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","22UF","22UF-0805-6.3V-20%","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","22uF ceramic capacitors A capacitor is a passive two-terminal electrical component used to store electrical energy temporarily in an electric field.",""
"D1, ","1","IR_EMITTER","LED-IRSIDE_EMITTER","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRGrey","Infrared LED (IR) <li><b> Wavelength: </b> 940nm</li> <li><b>Packages:</b></li><ul><li><b>TSAL6100</b> </li><li><b> LTE302</b> - Side firing. Check SparkFun-Sensors.lbr for the receiver</li> <ul> <b>SparkFun Products:</b><ul><li><a href= [https://www.sparkfun.com/products/12780] >ZX Distance and Gesture Sensor</a></li><li><a href= https://www.sparkfun.com/products/241 >Infrared Emitters and Detectors</a></li></ul>",""
"DISPLAY1, ","1","SSD1306","SSD1306","SSD1306:128x64OLED","SSD1306 OLED",""
"J1, ","1","USB_B_Micro","USB_B_Micro","Connector_USB:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal","USB Micro Type B connector",""
"Q1, ","1","P2N2222A","TRANS_NPN-P2N2222A","Package_TO_SOT_THT:TO-92","NPN transistor Current controlled devices typically used to amplify current or used as a switch. <ul>  <li>    BC547 -     <a href=""http://www.sparkfun.com/products/8928"">COM-08928</a>    (TO-92 45V 100mA) (1.Collector 2.Base 3.Emitter)  </li>  <li>    2N3904 -     <a href=""http://www.sparkfun.com/products/521"">COM-00521</a>    (TO-92 40V 200mA) (1.Emitter 2.Base 3.Collector)  </li>  <li>    P2N2222A -     <a href=""http://www.sparkfun.com/products/12852"">COM-12852</a>    (TO-92 40V 600mA) (1.Collector 2.Base 3.Emitter)  </li></ul>",""
"R1, ","1","470","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R2, R3, R4, R5, R6, ","5","100","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"SW1, SW2, SW3, SW4, ","4","SW_Push","SW_Push","Button_Switch_THT:SW_PUSH_6mm","Push button switch, generic, two pins",""
"U1, ","1","AMS1117-5.0","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1A Low Dropout regulator, positive, 5.0V fixed output, SOT-223",""
"U2, ","1","ATmega328-P","ATmega328-P","Package_DIP:DIP-28_W7.62mm_Socket_LongPads","20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, DIP-28",""
"U3, ","1","DHT11","DHT11","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","Temperature and humidity module",""
"U4, ","1","TSOP382xx","TSOP382xx","OptoDevice:Vishay_MINICAST-3Pin","Photo Modules for PCM Remote Control Systems",""
"Y1, ","1","16MHZ","CRYSTAL-16MHZPTH-HC49US","Crystal:Crystal_HC18-U_Vertical","16MHz Crystal <a href=""http://www.digikey.com/product-search/en?keywords=535-9122-1-ND"">Digikey Example</a> <ul><li>Frequency: 16MHz</li><li>Frequency Stability: &plusmn;50ppm</li><li>Frequency Tolerance: &plusmn;20ppm</li><li>Load Capacitance: 18pF</li></ul> <b>SparkFun Products:</b><ul><li><a href= https://www.sparkfun.com/products/12640 >Pro Micro -5V/16MHz</a></li><li><a href= https://www.sparkfun.com/products/10097 >SparkFun Serial Enabled LCD Kit</a></li></ul>",""
